months,P3,P10,P25,P50,P75,P90,P97,,,,,,,,
164 ,145.9 ,149.3 ,152.7 ,156.3 ,159.9 ,163.2 ,166.3 ,,,,,,,,
165 ,146.2 ,149.5 ,152.8 ,156.4 ,160.1 ,163.4 ,166.5 ,,,,,,,,
166 ,146.4 ,149.7 ,152.9 ,156.5 ,160.2 ,163.5 ,166.7 ,,,,,,,,
167 ,146.6 ,149.8 ,153.1 ,156.7 ,160.3 ,163.6 ,166.8 ,,,,,,,,
168 ,146.8 ,150.0 ,153.2 ,156.8 ,160.4 ,163.7 ,167.0 ,,,,,,,,
169 ,147.0 ,150.2 ,153.3 ,156.9 ,160.5 ,163.8 ,167.2 ,,,,,,,,
170 ,147.2 ,150.3 ,153.5 ,157.0 ,160.6 ,163.9 ,167.3 ,,,,,,,,
171 ,147.4 ,150.5 ,153.6 ,157.2 ,160.7 ,164.1 ,167.5 ,,,,,,,,
172 ,147.6 ,150.7 ,153.7 ,157.3 ,160.8 ,164.2 ,167.6 ,,,,,,,,
173 ,147.8 ,150.8 ,153.9 ,157.4 ,160.9 ,164.3 ,167.8 ,,,,,,,,
174 ,148.0 ,151.0 ,154.0 ,157.5 ,161.0 ,164.4 ,167.9 ,,,,,,,,
175 ,148.1 ,151.1 ,154.1 ,157.6 ,161.1 ,164.5 ,168.0 ,,,,,,,,
176 ,148.2 ,151.2 ,154.2 ,157.6 ,161.2 ,164.5 ,168.0 ,,,,,,,,
177 ,148.4 ,151.3 ,154.3 ,157.7 ,161.3 ,164.6 ,168.1 ,,,,,,,,
178 ,148.5 ,151.3 ,154.3 ,157.8 ,161.3 ,164.6 ,168.1 ,,,,,,,,
179 ,148.6 ,151.4 ,154.4 ,157.8 ,161.4 ,164.7 ,168.2 ,,,,,,,,
180 ,148.7 ,151.5 ,154.5 ,157.9 ,161.5 ,164.7 ,168.2 ,,,,,,,,
181 ,148.8 ,151.6 ,154.6 ,158.0 ,161.6 ,164.8 ,168.3 ,,,,,,,,
182 ,148.9 ,151.7 ,154.7 ,158.0 ,161.7 ,164.8 ,168.3 ,,,,,,,,
183 ,149.0 ,151.8 ,154.8 ,158.1 ,161.8 ,164.9 ,168.4 ,,,,,,,,
184 ,149.0 ,151.8 ,154.8 ,158.2 ,161.8 ,164.9 ,168.4 ,,,,,,,,
185 ,149.1 ,151.9 ,154.9 ,158.2 ,161.9 ,165.0 ,168.5 ,,,,,,,,
186 ,149.2 ,152.0 ,155.0 ,158.3 ,162.0 ,165.0 ,168.5 ,,,,,,,,
187 ,149.3 ,152.1 ,155.1 ,158.4 ,162.1 ,165.1 ,168.6 ,,,,,,,,
188 ,149.4 ,152.1 ,155.1 ,158.4 ,162.1 ,165.2 ,168.6 ,,,,,,,,
189 ,149.5 ,152.2 ,155.2 ,158.5 ,162.2 ,165.3 ,168.7 ,,,,,,,,
190 ,149.5 ,152.2 ,155.2 ,158.6 ,162.2 ,165.3 ,168.7 ,,,,,,,,
191 ,149.6 ,152.3 ,155.3 ,158.6 ,162.3 ,165.4 ,168.8 ,,,,,,,,
192 ,149.7 ,152.3 ,155.3 ,158.7 ,162.3 ,165.5 ,168.8 ,,,,,,,,
193 ,149.8 ,152.3 ,155.3 ,158.8 ,162.3 ,165.6 ,168.8 ,,,,,,,,
194 ,149.8 ,152.4 ,155.4 ,158.8 ,162.4 ,165.7 ,168.9 ,,,,,,,,
195 ,149.9 ,152.4 ,155.4 ,158.9 ,162.4 ,165.8 ,168.9 ,,,,,,,,
196 ,149.9 ,152.4 ,155.4 ,158.9 ,162.4 ,165.8 ,168.9 ,,,,,,,,
197 ,150.0 ,152.5 ,155.5 ,159.0 ,162.5 ,165.9 ,169.0 ,,,,,,,,
198 ,150.0 ,152.5 ,155.5 ,159.0 ,162.5 ,166.0 ,169.0 ,,,,,,,,
199 ,150.0 ,152.6 ,155.6 ,159.1 ,162.6 ,166.0 ,169.0 ,,,,,,,,
200 ,150.0 ,152.6 ,155.6 ,159.1 ,162.6 ,166.0 ,169.0 ,,,,,,,,
201 ,150.0 ,152.7 ,155.7 ,159.2 ,162.7 ,166.0 ,169.0 ,,,,,,,,
202 ,150.0 ,152.7 ,155.7 ,159.2 ,162.7 ,166.0 ,169.0 ,,,,,,,,
203 ,150.0 ,152.8 ,155.8 ,159.3 ,162.8 ,166.0 ,169.0 ,,,,,,,,
204 ,150.0 ,152.8 ,155.8 ,159.3 ,162.8 ,166.0 ,169.0 ,,,,,,,,
205 ,150.0 ,152.8 ,155.8 ,159.3 ,162.8 ,166.0 ,169.0 ,,,,,,,,
206 ,150.0 ,152.9 ,155.9 ,159.4 ,162.9 ,166.0 ,169.0 ,,,,,,,,
207 ,150.0 ,152.9 ,155.9 ,159.4 ,162.9 ,166.0 ,169.0 ,,,,,,,,
208 ,150.0 ,152.9 ,155.9 ,159.4 ,162.9 ,166.0 ,169.0 ,,,,,,,,
209 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
210 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
211 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
212 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
213 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
214 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
215 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
216 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
217 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
218 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
219 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
220 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
221 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
222 ,150.0 ,153.0 ,156.0 ,159.5 ,163.0 ,166.0 ,169.0 ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
